,code,name,current,price,diff,per_diff,time
0,III,3I GRP.,GBX,927.40,+5.40,+0.59,2018-03-06 18:46:00
1,ABF,A.B.FOOD,GBX,2590.00,0.00,+0.00,2018-03-06 18:46:00
2,ADM,ADMIRAL GRP,GBX,1870.50,+6.00,+0.32,2018-03-06 18:46:00
3,AAL,ANGLO AMERICAN,GBX,1760.20,+67.00,+3.96,2018-03-06 18:46:00
4,ANTO,ANTOFAGASTA,GBX,884.20,+21.40,+2.48,2018-03-06 18:46:00
5,AHT,ASHTEAD GRP.,GBX,1917.50,-111.50,-5.50,2018-03-06 18:46:00
6,AZN,ASTRAZENECA,GBX,4795.50,-4.50,-0.09,2018-03-06 18:46:00
7,AV.,AVIVA,GBX,500.80,-0.20,-0.04,2018-03-06 18:46:00
8,BA.,BAE SYS.,GBX,587.00,+14.60,+2.55,2018-03-06 18:46:00
9,BARC,BARCLAYS,GBX,211.35,+4.15,+2.00,2018-03-06 18:46:00
10,BDEV,BARRATT DEVEL.,GBX,535.00,-4.40,-0.82,2018-03-06 18:46:00
11,BKG,BERKELEY GP.HLD,GBX,3806.00,+18.00,+0.48,2018-03-06 18:46:00
12,BLT,BHP BILLITON,GBX,1468.00,+31.00,+2.16,2018-03-06 18:46:00
13,BP.,BP,GBX,473.15,+3.00,+0.64,2018-03-06 18:46:00
14,BATS,BR.AMER.TOB.,GBX,4195.00,-26.00,-0.62,2018-03-06 18:46:00
15,BLND,BR.LAND,GBX,629.40,-5.60,-0.88,2018-03-06 18:46:00
16,BT.A,BT GROUP,GBX,238.15,-0.25,-0.10,2018-03-06 18:46:00
17,BNZL,BUNZL,GBX,1982.50,+19.50,+0.99,2018-03-06 18:46:00
18,BRBY,BURBERRY GRP,GBX,1647.00,-3.50,-0.21,2018-03-06 18:46:00
19,CCL,CARNIVAL,GBX,4644.00,0.00,+0.00,2018-03-06 18:46:00
20,CNA,CENTRICA,GBX,141.15,-0.90,-0.63,2018-03-06 18:46:00
21,CCH,COCACOLA HBC AG,GBX,2414.00,+29.00,+1.22,2018-03-06 18:46:00
22,CPG,COMPASS GROUP,GBX,1522.50,-3.00,-0.20,2018-03-06 18:46:00
23,CRH,CRH,GBX,2439.00,-22.00,-0.89,2018-03-06 18:46:00
24,CRDA,CRODA INTL.,GBX,4527.00,+78.00,+1.75,2018-03-06 18:46:00
25,DCC,DCC,GBX,6740.00,+145.00,+2.20,2018-03-06 18:46:00
26,DGE,DIAGEO,GBX,2389.00,-13.00,-0.54,2018-03-06 18:46:00
27,DLG,DIRECT LINE,GBX,375.80,-1.90,-0.50,2018-03-06 18:46:00
28,EZJ,EASYJET,GBX,1552.50,-45.00,-2.82,2018-03-06 18:46:00
29,EVR,EVRAZ,GBX,439.70,+2.60,+0.59,2018-03-06 18:46:00
30,EXPN,EXPERIAN,GBX,1522.50,+6.50,+0.43,2018-03-06 18:46:00
31,FERG,FERGUSON,GBX,5160.00,+26.00,+0.51,2018-03-06 18:46:00
32,FRES,FRESNILLO,GBX,1229.50,+22.00,+1.82,2018-03-06 18:46:00
33,GFS,G4S,GBX,261.40,+4.90,+1.91,2018-03-06 18:46:00
